Sex,Age,Race,Juv_fel_count,Juv_misd_count,Juv_other_count,Priors_count,C_charge_degree,Target
Male,69,Other,0,0,0,0,F,Survived
Male,34,African-American,0,0,0,0,F,Recidivated
Male,24,African-American,0,0,1,4,F,Recidivated
Male,44,Other,0,0,0,0,M,Survived
Male,41,Caucasian,0,0,0,14,F,Recidivated
Male,43,Other,0,0,0,3,F,Survived
Female,39,Caucasian,0,0,0,0,M,Survived
Male,27,Caucasian,0,0,0,0,F,Survived
Male,23,African-American,0,0,0,3,M,Recidivated
Female,37,Caucasian,0,0,0,0,M,Survived
Male,41,African-American,0,0,0,0,F,Survived
Female,47,Caucasian,0,0,0,1,F,Recidivated
Male,31,African-American,0,0,0,7,F,Recidivated
Male,37,Hispanic,0,0,0,0,M,Survived
Male,25,African-American,0,0,0,3,F,Survived
Male,31,Caucasian,0,0,0,6,F,Recidivated
Male,31,Caucasian,0,0,0,5,F,Recidivated
Male,64,African-American,0,0,0,13,F,Recidivated
Male,21,African-American,0,0,0,1,F,Recidivated
Male,27,Caucasian,0,0,0,0,M,Recidivated
Female,21,Caucasian,0,0,0,0,F,Survived
Male,24,Hispanic,0,0,0,1,F,Recidivated
Male,43,Caucasian,0,0,0,1,M,Survived
Male,32,Other,0,0,0,0,M,Survived
Male,27,African-American,0,0,0,8,F,Recidivated
Male,26,African-American,0,0,1,5,F,Recidivated
Male,33,African-American,0,0,0,0,F,Recidivated
Male,30,Caucasian,0,0,0,9,F,Recidivated
Male,32,African-American,0,0,0,4,F,Recidivated
Male,55,Caucasian,0,0,0,0,F,Survived
Male,49,Other,0,0,0,7,F,Recidivated
Female,33,Caucasian,0,0,0,4,M,Recidivated
Male,24,Caucasian,0,0,0,1,M,Recidivated
Male,34,African-American,2,1,3,21,F,Recidivated
Male,29,Caucasian,0,0,0,0,M,Survived
Female,21,African-American,0,0,0,2,F,Survived
Male,51,African-American,0,0,0,2,M,Survived
Male,29,Caucasian,0,0,0,2,M,Recidivated
Female,51,African-American,0,0,0,7,F,Survived
Male,29,African-American,0,0,0,0,F,Recidivated
Male,25,Caucasian,0,0,0,9,M,Recidivated
Male,35,African-American,1,0,4,13,F,Recidivated
Male,49,Caucasian,0,0,0,0,M,Survived
Male,29,African-American,0,0,0,0,F,Survived
Male,29,Caucasian,0,0,0,1,F,Recidivated
Female,28,Other,0,0,0,0,F,Survived
Male,31,African-American,0,0,1,15,F,Survived
Male,24,African-American,0,0,0,2,F,Recidivated
Male,30,Hispanic,0,0,0,0,M,Survived
Male,49,African-American,0,0,0,4,M,Survived
Male,53,Caucasian,0,0,0,8,F,Survived
Male,35,African-American,0,0,0,5,F,Survived
Male,27,African-American,1,1,2,15,F,Recidivated
Male,38,Caucasian,0,0,0,4,M,Recidivated
Male,22,African-American,0,0,1,1,F,Recidivated
Male,29,African-American,0,0,0,4,F,Recidivated
Male,62,Hispanic,0,0,0,0,M,Survived
Male,27,African-American,0,1,0,6,F,Recidivated
Male,33,Other,0,0,0,0,M,Survived
Female,56,African-American,0,0,0,0,M,Survived
Male,45,Hispanic,0,0,0,6,F,Recidivated
Male,22,Hispanic,0,0,0,1,F,Survived
Male,39,African-American,0,0,0,1,M,Survived
Male,29,African-American,0,0,0,5,F,Recidivated
Male,27,Caucasian,0,0,1,1,F,Recidivated
Male,40,African-American,0,0,0,2,F,Survived
Male,22,African-American,0,0,0,1,M,Recidivated
Male,22,Caucasian,0,0,0,0,F,Survived
Female,26,African-American,0,0,0,1,F,Recidivated
Male,32,African-American,0,0,0,0,F,Survived
Male,41,African-American,0,0,0,1,M,Survived
Male,30,African-American,0,0,0,8,M,Recidivated
Male,50,Other,0,0,0,0,F,Recidivated
Male,25,African-American,1,6,1,14,F,Recidivated
Male,20,Other,0,0,0,0,F,Recidivated
Male,22,African-American,1,0,0,2,F,Recidivated
Female,35,African-American,0,0,0,1,M,Survived
Male,36,African-American,0,0,0,9,F,Recidivated
Male,26,Caucasian,0,0,0,7,F,Recidivated
Male,21,Other,0,0,0,1,F,Recidivated
Male,25,Caucasian,0,0,0,9,F,Recidivated
Female,20,Caucasian,0,0,0,0,F,Survived
Male,39,Caucasian,0,0,0,2,F,Recidivated
